#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.900000000000001E+00  0.229772086195267E+00  0.474268706532696E-02  0.435028533724755E+01  0.897935094775254E-01
     0.910000000000001E+00  0.229689394001773E+00  0.480758482927145E-02  0.435179907816921E+01  0.910866751996491E-01
     0.920000000000001E+00  0.229605989448152E+00  0.487291396628052E-02  0.435332628749141E+01  0.923903793497653E-01
     0.930000000000001E+00  0.229521885574837E+00  0.493867511616647E-02  0.435486672910296E+01  0.937046674018784E-01
     0.940000000000001E+00  0.229437095666087E+00  0.500486821059878E-02  0.435642016221954E+01  0.950295710404029E-01
     0.950000000000001E+00  0.229351633208440E+00  0.507149243613235E-02  0.435798634221292E+01  0.963651074209469E-01
     0.960000000000001E+00  0.229265511844581E+00  0.513854619964883E-02  0.435956502153218E+01  0.977112784791737E-01
     0.970000000000000E+00  0.229178745322752E+00  0.520602709678603E-02  0.436115595071447E+01  0.990680702992539E-01
     0.980000000000000E+00  0.229091347441820E+00  0.527393188394235E-02  0.436275887948288E+01  0.100435452553705E+00
     0.990000000000000E+00  0.229003331992311E+00  0.534225645444385E-02  0.436437355792556E+01  0.101813378026372E+00
     0.100000000000000E+01  0.228914712693680E+00  0.541099581945060E-02  0.436599973775030E+01  0.103201782230144E+00
     0.101000000000000E+01  0.228825503128298E+00  0.548014409415448E-02  0.436763717360540E+01  0.104600583130470E+00
     0.102000000000000E+01  0.228735716672596E+00  0.554969448978214E-02  0.436928562445757E+01  0.106009680984997E+00
     0.103000000000000E+01  0.228645366426024E+00  0.561963931186419E-02  0.437094485501417E+01  0.107428958308566E+00
     0.104000000000000E+01  0.228554465138433E+00  0.568996996516478E-02  0.437261463717713E+01  0.108858279971508E+00
     0.105000000000000E+01  0.228463025136638E+00  0.576067696558497E-02  0.437429475151394E+01  0.110297493437525E+00
     0.106000000000000E+01  0.228371058250958E+00  0.583174995925986E-02  0.437598498872916E+01  0.111746429145586E+00
     0.107000000000000E+01  0.228278575742546E+00  0.590317774896611E-02  0.437768515112066E+01  0.113204901038194E+00
     0.108000000000000E+01  0.228185588232415E+00  0.597494832784279E-02  0.437939505400233E+01  0.114672707236106E+00
     0.109000000000000E+01  0.228092105632958E+00  0.604704892031076E-02  0.438111452707699E+01  0.116149630857240E+00
     0.110000000000000E+01  0.227998137082921E+00  0.611946602995371E-02  0.438284341574074E+01  0.117635440975017E+00
     0.111000000000000E+01  0.227903690886597E+00  0.619218549400296E-02  0.438458158230311E+01  0.119129893709003E+00
     0.112000000000000E+01  0.227808774458066E+00  0.626519254395109E-02  0.438632890710643E+01  0.120632733438364E+00
     0.113000000000000E+01  0.227713394271202E+00  0.633847187170966E-02  0.438808528953029E+01  0.122143694126421E+00
     0.114000000000000E+01  0.227617555816080E+00  0.641200770062685E-02  0.438985064886796E+01  0.123662500742637E+00
     0.115000000000000E+01  0.227521263562362E+00  0.648578386059580E-02  0.439162492506370E+01  0.125188870766628E+00
     0.116000000000000E+01  0.227424520930059E+00  0.655978386641520E-02  0.439340807930250E+01  0.126722515757436E+00
     0.117000000000000E+01  0.227327330268018E+00  0.663399099851263E-02  0.439520009444576E+01  0.128263142970263E+00
     0.118000000000000E+01  0.227229692840306E+00  0.670838838510968E-02  0.439700097530896E+01  0.129810457002240E+00
     0.119000000000000E+01  0.227131608820577E+00  0.678295908489685E-02  0.439881074878011E+01  0.131364161448571E+00
     0.120000000000000E+01  0.227033077294333E+00  0.685768616929503E-02  0.440062946378035E+01  0.132923960550624E+00
     0.121000000000000E+01  0.226934096268917E+00  0.693255280340860E-02  0.440245719107024E+01  0.134489560818017E+00
     0.122000000000000E+01  0.226834662690926E+00  0.700754232482092E-02  0.440429402290782E+01  0.136060672607763E+00
     0.123000000000000E+01  0.226734772470640E+00  0.708263831944529E-02  0.440614007256657E+01  0.137637011644716E+00
     0.124000000000000E+01  0.226634420512987E+00  0.715782469371987E-02  0.440799547372302E+01  0.139218300469112E+00
     0.125000000000000E+01  0.226533600754454E+00  0.723308574252082E-02  0.440986037972555E+01  0.140804269798696E+00
     0.126000000000000E+01  0.226432306205317E+00  0.730840621226256E-02  0.441173496275729E+01  0.142394659794858E+00
     0.127000000000000E+01  0.226330528996530E+00  0.738377135875256E-02  0.441361941290594E+01  0.143989221224101E+00
     0.128000000000000E+01  0.226228260430538E+00  0.745916699946927E-02  0.441551393715554E+01  0.145587716508301E+00
     0.129000000000000E+01  0.226125491035333E+00  0.753457956003219E-02  0.441741875831362E+01  0.147189920659109E+00
     0.130000000000000E+01  0.226022210620988E+00  0.760999611472986E-02  0.441933411388918E+01  0.148795622093906E+00
     0.131000000000000E+01  0.225918408338030E+00  0.768540442106417E-02  0.442126025493404E+01  0.150404623332438E+00
     0.132000000000000E+01  0.225814072736918E+00  0.776079294835387E-02  0.442319744486260E+01  0.152016741575090E+00
     0.133000000000000E+01  0.225709191828016E+00  0.783615090051727E-02  0.442514595826171E+01  0.153631809165198E+00
     0.134000000000000E+01  0.225603753141496E+00  0.791146823322121E-02  0.442710607970247E+01  0.155249673939153E+00
     0.135000000000000E+01  0.225497743786556E+00  0.798673566564193E-02  0.442907810256577E+01  0.156870199469307E+00
     0.136000000000000E+01  0.225391150509553E+00  0.806194468713016E-02  0.443106232788986E+01  0.158493265205460E+00
     0.137000000000000E+01  0.225283959750550E+00  0.813708755911152E-02  0.443305906324970E+01  0.160118766521670E+00
     0.138000000000000E+01  0.225176157697967E+00  0.821215731258100E-02  0.443506862167462E+01  0.161746614675505E+00
     0.139000000000000E+01  0.225067730340961E+00  0.828714774156986E-02  0.443709132061118E+01  0.163376736687383E+00
     0.140000000000000E+01  0.224958663519354E+00  0.836205339297449E-02  0.443912748093551E+01  0.165009075147753E+00
     0.141000000000000E+01  0.224848942970846E+00  0.843686955313973E-02  0.444117742601972E+01  0.166643587960009E+00
     0.142000000000000E+01  0.224738554375399E+00  0.851159223158731E-02  0.444324148085502E+01  0.168280248026958E+00
     0.143000000000000E+01  0.224627483396683E+00  0.858621814227043E-02  0.444531997123366E+01  0.169919042888441E+00
     0.144000000000000E+01  0.224515715720530E+00  0.866074468272334E-02  0.444741322299050E+01  0.171559974317496E+00
     0.145000000000000E+01  0.224403237090357E+00  0.873516991145740E-02  0.444952156130515E+01  0.173203057882109E+00
     0.146000000000000E+01  0.224290033339608E+00  0.880949252393514E-02  0.445164531006370E+01  0.174848322479123E+00
     0.147000000000000E+01  0.224176090421214E+00  0.888371182743264E-02  0.445378479127983E+01  0.176495809846580E+00
     0.148000000000000E+01  0.224061394434192E+00  0.895782771507640E-02  0.445594032457298E+01  0.178145574060104E+00
     0.149000000000000E+01  0.223945931647420E+00  0.903184063931711E-02  0.445811222670284E+01  0.179797681018668E+00
     0.150000000000000E+01  0.223829688520742E+00  0.910575158507840E-02  0.446030081115697E+01  0.181452207924399E+00
     0.151000000000000E+01  0.223712651723477E+00  0.917956204279389E-02  0.446250638779007E+01  0.183109242760740E+00
     0.152000000000000E+01  0.223594808150516E+00  0.925327398152308E-02  0.446472926251123E+01  0.184768883772692E+00
     0.153000000000000E+01  0.223476144936085E+00  0.932688982231267E-02  0.446696973701761E+01  0.186431238952524E+00
     0.154000000000000E+01  0.223356649465370E+00  0.940041241194873E-02  0.446922810857053E+01  0.188096425533775E+00
     0.155000000000000E+01  0.223236309384109E+00  0.947384499722492E-02  0.447150466981196E+01  0.189764569496066E+00
     0.156000000000000E+01  0.223115112606315E+00  0.954719119983195E-02  0.447379970861790E+01  0.191435805082791E+00
     0.157000000000000E+01  0.222993047320266E+00  0.962045499195643E-02  0.447611350798639E+01  0.193110274333463E+00
     0.158000000000000E+01  0.222870101992899E+00  0.969364067266087E-02  0.447844634595685E+01  0.194788126632077E+00
     0.159000000000000E+01  0.222746265372760E+00  0.976675284510146E-02  0.448079849555805E+01  0.196469518272650E+00
     0.160000000000000E+01  0.222621526491615E+00  0.983979639462757E-02  0.448317022478253E+01  0.198154612042777E+00
     0.161000000000000E+01  0.222495874664869E+00  0.991277646779410E-02  0.448556179658455E+01  0.199843576825833E+00
     0.162000000000000E+01  0.222369299490900E+00  0.998569845230823E-02  0.448797346889935E+01  0.201536587222206E+00
     0.163000000000000E+01  0.222241790849439E+00  0.100585679579217E-01  0.449040549468113E+01  0.203233823189781E+00
     0.164000000000000E+01  0.222113338899060E+00  0.101313907982727E-01  0.449285812195868E+01  0.204935469703795E+00
     0.165000000000000E+01  0.221983934073947E+00  0.102041729736731E-01  0.449533159390488E+01  0.206641716435850E+00
     0.166000000000000E+01  0.221853567079963E+00  0.102769206548323E-01  0.449782614892007E+01  0.208352757452041E+00
     0.167000000000000E+01  0.221722228890153E+00  0.103496401675024E-01  0.450034202072631E+01  0.210068790929768E+00
     0.168000000000000E+01  0.221589910739735E+00  0.104223379780256E-01  0.450287943847168E+01  0.211790018892943E+00
     0.169000000000000E+01  0.221456604120673E+00  0.104950206797620E-01  0.450543862684240E+01  0.213516646965036E+00
     0.170000000000000E+01  0.221322300775890E+00  0.105676949803719E-01  0.450801980618229E+01  0.215248884139557E+00
     0.171000000000000E+01  0.221186992693166E+00  0.106403676899249E-01  0.451062319261777E+01  0.216986942567346E+00
     0.172000000000000E+01  0.221050672098814E+00  0.107130457098071E-01  0.451324899818732E+01  0.218731037360104E+00
     0.173000000000000E+01  0.220913331451152E+00  0.107857360223955E-01  0.451589743097477E+01  0.220481386409574E+00
     0.174000000000000E+01  0.220774963433838E+00  0.108584456814679E-01  0.451856869524483E+01  0.222238210221701E+00
     0.175000000000000E+01  0.220635560949103E+00  0.109311818033178E-01  0.452126299158066E+01  0.224001731765180E+00
     0.176000000000000E+01  0.220495117110906E+00  0.110039515585400E-01  0.452398051702261E+01  0.225772176333756E+00
     0.177000000000000E+01  0.220353625238067E+00  0.110767621644576E-01  0.452672146520723E+01  0.227549771421612E+00
     0.178000000000000E+01  0.220211078847403E+00  0.111496208781571E-01  0.452948602650588E+01  0.229334746611211E+00
     0.179000000000000E+01  0.220067471646874E+00  0.112225349901008E-01  0.453227438816308E+01  0.231127333473050E+00
     0.180000000000000E+01  0.219922797528787E+00  0.112955118182869E-01  0.453508673443326E+01  0.232927765476618E+00
     0.181000000000000E+01  0.219777050563063E+00  0.113685587029260E-01  0.453792324671621E+01  0.234736277912068E+00
     0.182000000000000E+01  0.219630224990592E+00  0.114416830016072E-01  0.454078410369053E+01  0.236553107821975E+00
     0.183000000000000E+01  0.219482315216689E+00  0.115148920849240E-01  0.454366948144464E+01  0.238378493942637E+00
     0.184000000000000E+01  0.219333315804663E+00  0.115881933325346E-01  0.454657955360562E+01  0.240212676654436E+00
     0.185000000000000E+01  0.219183221469504E+00  0.116615941296301E-01  0.454951449146518E+01  0.242055897940706E+00
     0.186000000000000E+01  0.219032027071725E+00  0.117351018637853E-01  0.455247446410265E+01  0.243908401354618E+00
     0.187000000000000E+01  0.218879727611324E+00  0.118087239221697E-01  0.455545963850500E+01  0.245770431993673E+00
     0.188000000000000E+01  0.218726318221910E+00  0.118824676890952E-01  0.455847017968356E+01  0.247642236481298E+00
     0.189000000000000E+01  0.218571794164974E+00  0.119563405438786E-01  0.456150625078772E+01  0.249524062955185E+00
     0.190000000000000E+01  0.218416150824323E+00  0.120303498589994E-01  0.456456801321487E+01  0.251416161061920E+00
     0.191000000000000E+01  0.218259383700676E+00  0.121045029985331E-01  0.456765562671715E+01  0.253318781957566E+00
     0.192000000000000E+01  0.218101488406419E+00  0.121788073168408E-01  0.457076924950467E+01  0.255232178313829E+00
     0.193000000000000E+01  0.217942460660522E+00  0.122532701574989E-01  0.457390903834526E+01  0.257156604329478E+00
     0.194000000000000E+01  0.217782296283624E+00  0.123278988524515E-01  0.457707514866066E+01  0.259092315746700E+00
     0.195000000000000E+01  0.217620991193291E+00  0.124027007213702E-01  0.458026773461903E+01  0.261039569872060E+00
     0.196000000000000E+01  0.217458541399408E+00  0.124776830712071E-01  0.458348694922448E+01  0.262998625601896E+00
     0.197000000000000E+01  0.217294942999770E+00  0.125528531959265E-01  0.458673294440241E+01  0.264969743451711E+00
     0.198000000000000E+01  0.217130192175809E+00  0.126282183764023E-01  0.459000587108188E+01  0.266953185589491E+00
     0.199000000000000E+01  0.216964285188486E+00  0.127037858804701E-01  0.459330587927437E+01  0.268949215872618E+00
     0.200000000000000E+01  0.216797218374333E+00  0.127795629631211E-01  0.459663311814933E+01  0.270958099888203E+00
     0.201000000000000E+01  0.216628988141665E+00  0.128555568668274E-01  0.459998773610596E+01  0.272980104996600E+00
     0.202000000000000E+01  0.216459590966928E+00  0.129317748219900E-01  0.460336988084210E+01  0.275015500377972E+00
     0.203000000000000E+01  0.216289023391190E+00  0.130082240474976E-01  0.460677969941977E+01  0.277064557081711E+00
     0.204000000000000E+01  0.216117282016795E+00  0.130849117513900E-01  0.461021733832736E+01  0.279127548078519E+00
     0.205000000000000E+01  0.215944363504141E+00  0.131618451316164E-01  0.461368294353882E+01  0.281204748315061E+00
     0.206000000000000E+01  0.215770264568607E+00  0.132390313768806E-01  0.461717666056965E+01  0.283296434771002E+00
     0.207000000000000E+01  0.215594981977606E+00  0.133164776675673E-01  0.462069863452989E+01  0.285402886518329E+00
     0.208000000000000E+01  0.215418512547781E+00  0.133941911767421E-01  0.462424901017406E+01  0.287524384782823E+00
     0.209000000000000E+01  0.215240853142311E+00  0.134721790712184E-01  0.462782793194832E+01  0.289661213007608E+00
     0.210000000000000E+01  0.215062000668360E+00  0.135504485126868E-01  0.463143554403454E+01  0.291813656918613E+00
     0.211000000000000E+01  0.214881952074641E+00  0.136290066588998E-01  0.463507199039152E+01  0.293982004591912E+00
     0.212000000000000E+01  0.214700704349086E+00  0.137078606649090E-01  0.463873741479366E+01  0.296166546522848E+00
     0.213000000000000E+01  0.214518254516651E+00  0.137870176843482E-01  0.464243196086667E+01  0.298367575696845E+00
     0.214000000000000E+01  0.214334599637216E+00  0.138664848707586E-01  0.464615577212063E+01  0.300585387661843E+00
     0.215000000000000E+01  0.214149736803604E+00  0.139462693789538E-01  0.464990899198037E+01  0.302820280602307E+00
     0.216000000000000E+01  0.213963663139696E+00  0.140263783664174E-01  0.465369176381338E+01  0.305072555414745E+00
     0.217000000000000E+01  0.213776375798652E+00  0.141068189947336E-01  0.465750423095497E+01  0.307342515784674E+00
     0.218000000000000E+01  0.213587871961237E+00  0.141875984310449E-01  0.466134653673093E+01  0.309630468264990E+00
     0.219000000000000E+01  0.213398148834234E+00  0.142687238495353E-01  0.466521882447777E+01  0.311936722355710E+00
     0.220000000000000E+01  0.213207203648953E+00  0.143502024329354E-01  0.466912123756047E+01  0.314261590585050E+00
     0.221000000000000E+01  0.213015033659833E+00  0.144320413740482E-01  0.467305391938775E+01  0.316605388591778E+00
     0.222000000000000E+01  0.212821636143137E+00  0.145142478772916E-01  0.467701701342478E+01  0.318968435208821E+00
     0.223000000000000E+01  0.212627008395711E+00  0.145968291602568E-01  0.468101066320398E+01  0.321351052548163E+00
     0.223999999999999E+01  0.212431147733862E+00  0.146797924552804E-01  0.468503501233282E+01  0.323753566086885E+00
     0.224999999999999E+01  0.212234051492280E+00  0.147631450110273E-01  0.468909020449977E+01  0.326176304754450E+00
     0.225999999999999E+01  0.212035717023063E+00  0.148468940940845E-01  0.469317638347770E+01  0.328619601021149E+00
     0.226999999999999E+01  0.211836141694809E+00  0.149310469905630E-01  0.469729369312495E+01  0.331083790987695E+00
     0.227999999999999E+01  0.211635322891784E+00  0.150156110077064E-01  0.470144227738416E+01  0.333569214475994E+00
     0.228999999999999E+01  0.211433258013164E+00  0.151005934755055E-01  0.470562228027875E+01  0.336076215121022E+00
     0.229999999999999E+01  0.211229944472333E+00  0.151860017483179E-01  0.470983384590735E+01  0.338605140463897E+00
     0.230999999999999E+01  0.211025379696286E+00  0.152718432064899E-01  0.471407711843526E+01  0.341156342045963E+00
     0.231999999999999E+01  0.210819561125047E+00  0.153581252579823E-01  0.471835224208461E+01  0.343730175504135E+00
     0.232999999999999E+01  0.210612486211200E+00  0.154448553399963E-01  0.472265936112132E+01  0.346327000667254E+00
     0.233999999999999E+01  0.210404152419456E+00  0.155320409206010E-01  0.472699861984025E+01  0.348947181653597E+00
     0.234999999999999E+01  0.210194557226288E+00  0.156196895003603E-01  0.473137016254798E+01  0.351591086969525E+00
     0.235999999999999E+01  0.209983698119629E+00  0.157078086139596E-01  0.473577413354310E+01  0.354259089609211E+00
     0.236999999999999E+01  0.209771572598630E+00  0.157964058318299E-01  0.474021067709438E+01  0.356951567155507E+00
     0.237999999999999E+01  0.209558178173473E+00  0.158854887617710E-01  0.474467993741635E+01  0.359668901881915E+00
     0.238999999999999E+01  0.209343512365242E+00  0.159750650505712E-01  0.474918205864272E+01  0.362411480855710E+00
     0.239999999999999E+01  0.209127572705845E+00  0.160651423856242E-01  0.475371718479740E+01  0.365179696042177E+00
     0.240999999999999E+01  0.208910356738006E+00  0.161557284965423E-01  0.475828545976280E+01  0.367973944409944E+00
     0.241999999999999E+01  0.208691862015290E+00  0.162468311567653E-01  0.476288702724602E+01  0.370794628037506E+00
     0.242999999999999E+01  0.208472086102188E+00  0.163384581851654E-01  0.476752203074258E+01  0.373642154220881E+00
     0.243999999999999E+01  0.208251026574272E+00  0.164306174476463E-01  0.477219061349714E+01  0.376516935582334E+00
     0.244999999999999E+01  0.208028681018365E+00  0.165233168587381E-01  0.477689291846239E+01  0.379419390180377E+00
     0.245999999999999E+01  0.207805047032793E+00  0.166165643831855E-01  0.478162908825476E+01  0.382349941620808E+00
