#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.121000000000000E+01  0.227063546459564E+00  0.730824198271240E-02  0.439949589532380E+01  0.141601684225883E+00
     0.122000000000000E+01  0.226971693285146E+00  0.737932360439312E-02  0.440118353895971E+01  0.143091665336038E+00
     0.123000000000000E+01  0.226879178966267E+00  0.745030209967815E-02  0.440288447472176E+01  0.144582766898751E+00
     0.124000000000000E+01  0.226785991161645E+00  0.752117730732698E-02  0.440459897325703E+01  0.146075027279459E+00
     0.125000000000000E+01  0.226692118377596E+00  0.759194958343345E-02  0.440632728909324E+01  0.147568494512816E+00
     0.126000000000000E+01  0.226597549985454E+00  0.766261959387677E-02  0.440806966049142E+01  0.149063222236178E+00
     0.127000000000000E+01  0.226502276198349E+00  0.773318810675673E-02  0.440982631010195E+01  0.150559265657358E+00
     0.128000000000000E+01  0.226406288007392E+00  0.780365579238786E-02  0.441159744641734E+01  0.152056677707177E+00
     0.129000000000000E+01  0.226309577078717E+00  0.787402303840393E-02  0.441338326598704E+01  0.153555505525959E+00
     0.130000000000000E+01  0.226212135614298E+00  0.794428978724492E-02  0.441518395633044E+01  0.155055787426404E+00
     0.131000000000000E+01  0.226113956180589E+00  0.801445540277240E-02  0.441699969946205E+01  0.156557550464179E+00
     0.132000000000000E+01  0.226015031510473E+00  0.808451857199539E-02  0.441883067591472E+01  0.158060808731122E+00
     0.133000000000000E+01  0.225915354284964E+00  0.815447724691097E-02  0.442067706912806E+01  0.159565562465823E+00
     0.134000000000000E+01  0.225814916901950E+00  0.822432863029951E-02  0.442253907005343E+01  0.161071798052436E+00
     0.135000000000000E+01  0.225713711240140E+00  0.829406920799144E-02  0.442441688180989E+01  0.162579488951361E+00
     0.136000000000000E+01  0.225611728426607E+00  0.836369482868535E-02  0.442631072422223E+01  0.164088597576500E+00
     0.137000000000000E+01  0.225508958616701E+00  0.843320083088028E-02  0.442822083806560E+01  0.165599078103013E+00
     0.138000000000000E+01  0.225405390794932E+00  0.850258221493745E-02  0.443014748884566E+01  0.167110880158488E+00
     0.139000000000000E+01  0.225301012605095E+00  0.857183385675270E-02  0.443209096995106E+01  0.168623953319841E+00
     0.140000000000000E+01  0.225195810217313E+00  0.864095075804812E-02  0.443405160502834E+01  0.170138252309050E+00
     0.141000000000000E+01  0.225089768238803E+00  0.870992832693124E-02  0.443602974944746E+01  0.171653742754006E+00
     0.142000000000000E+01  0.224982869674033E+00  0.877876268116423E-02  0.443802579075047E+01  0.173170407357380E+00
     0.143000000000000E+01  0.224875095938574E+00  0.884745096558379E-02  0.444004014800408E+01  0.174688252297266E+00
     0.144000000000000E+01  0.224766426929556E+00  0.891599167434957E-02  0.444207327000525E+01  0.176207313668915E+00
     0.145000000000000E+01  0.224656841153821E+00  0.898438496821203E-02  0.444412563232651E+01  0.177727663768680E+00
     0.146000000000000E+01  0.224546315913354E+00  0.905263297680082E-02  0.444619773321809E+01  0.179249417018440E+00
     0.147000000000000E+01  0.224434827545575E+00  0.912074007606059E-02  0.444829008842426E+01  0.180772735333136E+00
     0.148000000000000E+01  0.224322351714645E+00  0.918871313140078E-02  0.445040322500000E+01  0.182297832743861E+00
     0.149000000000000E+01  0.224208863748065E+00  0.925656169787595E-02  0.445253767425113E+01  0.183824979105798E+00
     0.150000000000000E+01  0.224094339011557E+00  0.932429816974415E-02  0.445469396394634E+01  0.185354502742049E+00
     0.151000000000000E+01  0.223978753313931E+00  0.939193787303554E-02  0.445687260997484E+01  0.186886791901408E+00
