# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    1.366366366    1.011124725    1.011199411    1.007422083
    1.381381381    1.011108518    1.011183183    1.007418827
    1.396396396    1.011092192    1.011166834    1.007415541
    1.411411411    1.011075746    1.011150365    1.007412224
    1.426426426    1.011059182    1.011133779    1.007408875
    1.441441441    1.011042501    1.011117075    1.007405497
    1.456456456    1.011025705    1.011100256    1.007402087
    1.471471471    1.011008796    1.011083323    1.007398647
    1.486486486    1.010991774    1.011066278    1.007395177
    1.501501502    1.010974640    1.011049121    1.007391676
    1.516516517    1.010957397    1.011031854    1.007388146
    1.531531532    1.010940046    1.011014478    1.007384585
    1.546546547    1.010922588    1.010996995    1.007380994
    1.561561562    1.010905023    1.010979406    1.007377373
    1.576576577    1.010887355    1.010961713    1.007373723
    1.591591592    1.010869583    1.010943916    1.007370043
    1.606606607    1.010851710    1.010926018    1.007366333
    1.621621622    1.010833737    1.010908019    1.007362594
    1.636636637    1.010815665    1.010889921    1.007358825
    1.651651652    1.010797495    1.010871725    1.007355028
    1.666666667    1.010779229    1.010853433    1.007351201
    1.681681682    1.010760868    1.010835046    1.007347345
    1.696696697    1.010742414    1.010816565    1.007343460
    1.711711712    1.010723868    1.010797992    1.007339547
    1.726726727    1.010705231    1.010779328    1.007335605
    1.741741742    1.010686504    1.010760575    1.007331634
    1.756756757    1.010667690    1.010741733    1.007327635
    1.771771772    1.010648789    1.010722805    1.007323607
    1.786786787    1.010629802    1.010703790    1.007319552
    1.801801802    1.010610732    1.010684692    1.007315468
    1.816816817    1.010591579    1.010665511    1.007311356
    1.831831832    1.010572345    1.010646248    1.007307216
    1.846846847    1.010553031    1.010626905    1.007303049
    1.861861862    1.010533638    1.010607484    1.007298854
    1.876876877    1.010514168    1.010587985    1.007294631
    1.891891892    1.010494622    1.010568409    1.007290381
    1.906906907    1.010475001    1.010548759    1.007286104
    1.921921922    1.010455307    1.010529036    1.007281800
    1.936936937    1.010435541    1.010509240    1.007277468
    1.951951952    1.010415704    1.010489373    1.007273110
    1.966966967    1.010395798    1.010469437    1.007268725
    1.981981982    1.010375824    1.010449432    1.007264313
    1.996996997    1.010355783    1.010429361    1.007259874
    2.012012012    1.010335677    1.010409224    1.007255409
    2.027027027    1.010315506    1.010389022    1.007250918
    2.042042042    1.010295273    1.010368758    1.007246400
    2.057057057    1.010274978    1.010348431    1.007241857
    2.072072072    1.010254622    1.010328044    1.007237287
    2.087087087    1.010234208    1.010307598    1.007232692
    2.102102102    1.010213736    1.010287094    1.007228071
    2.117117117    1.010193207    1.010266533    1.007223424
    2.132132132    1.010172623    1.010245916    1.007218752
    2.147147147    1.010151984    1.010225246    1.007214055
    2.162162162    1.010131293    1.010204522    1.007209332
    2.177177177    1.010110551    1.010183746    1.007204584
    2.192192192    1.010089758    1.010162920    1.007199812
