# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    1.696696697    1.013380774    1.013456912    1.008238585
    1.711711712    1.013409412    1.013485579    1.008243055
    1.726726727    1.013438433    1.013514628    1.008247569
    1.741741742    1.013467841    1.013544065    1.008252129
    1.756756757    1.013497641    1.013573895    1.008256735
    1.771771772    1.013527838    1.013604120    1.008261386
    1.786786787    1.013558435    1.013634747    1.008266084
    1.801801802    1.013589437    1.013665780    1.008270827
    1.816816817    1.013620850    1.013697223    1.008275617
    1.831831832    1.013652679    1.013729082    1.008280454
    1.846846847    1.013684927    1.013761362    1.008285337
    1.861861862    1.013717601    1.013794067    1.008290267
    1.876876877    1.013750706    1.013827203    1.008295244
    1.891891892    1.013784247    1.013860776    1.008300269
    1.906906907    1.013818229    1.013894790    1.008305341
    1.921921922    1.013852658    1.013929251    1.008310460
    1.936936937    1.013887540    1.013964165    1.008315628
    1.951951952    1.013922880    1.013999538    1.008320844
    1.966966967    1.013958684    1.014035375    1.008326108
    1.981981982    1.013994958    1.014071683    1.008331420
    1.996996997    1.014031709    1.014108467    1.008336781
    2.012012012    1.014068942    1.014145735    1.008342191
    2.027027027    1.014106665    1.014183491    1.008347650
    2.042042042    1.014144882    1.014221744    1.008353159
    2.057057057    1.014183603    1.014260499    1.008358717
    2.072072072    1.014222832    1.014299763    1.008364325
    2.087087087    1.014262577    1.014339543    1.008369983
    2.102102102    1.014302845    1.014379847    1.008375691
    2.117117117    1.014343644    1.014420682    1.008381450
    2.132132132    1.014384980    1.014462054    1.008387260
    2.147147147    1.014426862    1.014503972    1.008393120
    2.162162162    1.014469296    1.014546444    1.008399032
    2.177177177    1.014512292    1.014589477    1.008404995
    2.192192192    1.014555856    1.014633079    1.008411010
    2.207207207    1.014599998    1.014677258    1.008417077
    2.222222222    1.014644726    1.014722024    1.008423195
    2.237237237    1.014690048    1.014767384    1.008429367
    2.252252252    1.014735973    1.014813347    1.008435591
    2.267267267    1.014782510    1.014859923    1.008441868
    2.282282282    1.014829668    1.014907121    1.008448199
    2.297297297    1.014877457    1.014954949    1.008454583
    2.312312312    1.014925887    1.015003419    1.008461020
