# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    4.474474474    0.004358008    0.004358083    0.000069434
    4.489489489    0.004601051    0.004601112    0.000070129
    4.504504505    0.004864894    0.004864940    0.000070836
    4.519519520    0.005151971    0.005152000    0.000071556
    4.534534535    0.005465086    0.005465096    0.000072289
    4.549549550    0.005807472    0.005807463    0.000073036
    4.564564565    0.006182884    0.006182852    0.000073797
    4.579579580    0.006595691    0.006595635    0.000074574
    4.594594595    0.007051008    0.007050925    0.000075365
    4.609609610    0.007554852    0.007554740    0.000076172
    4.624624625    0.008114334    0.008114191    0.000076996
    4.639639640    0.008737915    0.008737736    0.000077837
    4.654654655    0.009435710    0.009435493    0.000078696
    4.669669670    0.010219903    0.010219644    0.000079573
    4.684684685    0.011105263    0.011104957    0.000080469
    4.699699700    0.012109826    0.012109469    0.000081386
    4.714714715    0.013255800    0.013255388    0.000082323
    4.729729730    0.014570761    0.014570288    0.000083283
    4.744744745    0.016089269    0.016088730    0.000084265
    4.759759760    0.017855079    0.017854470    0.000085271
    4.774774775    0.019924193    0.019923509    0.000086301
    4.789789790    0.022369139    0.022368379    0.000087358
    4.804804805    0.025285073    0.025284239    0.000088442
    4.819819820    0.028798605    0.028797703    0.000089555
    4.834834835    0.033080787    0.033079835    0.000090698
    4.849849850    0.038366595    0.038365630    0.000091872
    4.864864865    0.044984660    0.044983751    0.000093080
    4.879879880    0.053403498    0.053402766    0.000094323
    4.894894895    0.064304535    0.064304196    0.000095603
    4.909909910    0.078698736    0.078699157    0.000096921
    4.924924925    0.098112437    0.098114229    0.000098282
    4.939939940    0.124873632    0.124877731    0.000099686
    4.954954955    0.162501302    0.162508827    0.000101136
    4.969969970    0.216006726    0.216017688    0.000102636
    4.984984985    0.291107258    0.291115162    0.000104189
    5.000000000    0.388981676    0.388959750    0.000105798
    5.015015015    0.491057652    0.490955878    0.000107467
    5.030030030    0.545880600    0.545708672    0.000109201
    5.045045045    0.510934051    0.510809720    0.000111004
    5.060060060    0.414533218    0.414497349    0.000112881
    5.075075075    0.312750475    0.312755357    0.000114839
    5.090090090    0.231884465    0.231896180    0.000116884
    5.105105105    0.173685897    0.173694675    0.000119024
    5.120120120    0.132757860    0.132762936    0.000121266
    5.135135135    0.103761835    0.103764289    0.000123622
    5.150150150    0.082833967    0.082834829    0.000126101
    5.165165165    0.067398334    0.067398300    0.000128716
    5.180180180    0.055766535    0.055766029    0.000131482
    5.195195195    0.046824054    0.046823327    0.000134415
    5.210210210    0.039823070    0.039822265    0.000137535
    5.225225225    0.034251899    0.034251097    0.000140866
    5.240240240    0.029753331    0.029752577    0.000144434
